X,Y,hash,number,street,unit,city,district,region,postcode,id
-78.2557215,41.5047886,c5bb1dc222864c60,"13385",ROUTE 120,,,,,,
-78.2496433,41.5168189,fb5c9e125e4cb2ea,"11",WHEATON HOLLOW RD,,,,,,
-78.2385763,41.5168663,54eda9467d44811d,"518",MURRAYS MOUNTAIN RD,,,,,,
-78.2184734,41.5052416,cd2a71052f606944,"28",RED PINE DR,,,,,,
-78.1180435,41.5122824,1167bf04aeb0e25a,"1164",DEER RD,,,,,,
-78.0991694,41.5144465,217812d651a9aa58,"271",HAWK RD,,,,,,
-78.2308368,41.3613967,b9d7bf536d67cafb,"1306",LOW GRADE RD,,,,,,
-78.1982188,41.3402959,b1ac76dde1597d2a,"4027",LOW GRADE RD,,,,,,
-78.1500167,41.4744569,3a6ec7956a995895,"2388",HUNTS RUN RD,,,,,,
-78.2188834,41.4241709,273948b46ba0dde7,"51",MAY HOLLOW RD,,,,,,
-78.3220196,41.5172423,62f6924e4df684cb,"2113",CLEAR CREEK RD,,,,,,
-78.3220196,41.5172423,62f6924e4df684cb,"2113",CLEAR CREEK RD,,,,,,
-78.104047,41.5192877,20c21557515571c8,"959",HAWK RD,,,,,,
-78.199011,41.4133936,19fbcdc9d504c019,"8416",MASON HILL RD,,,,,,
-78.2102111,41.3442624,34ca0f656e48e9a7,"3214",LOW GRADE RD,,,,,,
-78.1747248,41.4475816,d5572204e0bd8fdb,"21027",CCC MEMORIAL HWY,,,,,,
-78.1961826,41.5774116,4d20fe24af858950,"5042",SIZERVILLE RD,,,,,,
-78.0212773,41.406751,696e0c7ac84ff5ae,"7232",FIRST FORK RD,,,,,,
-78.0829671,41.313021,06dc5ff0a265a235,"37",ELM ST,,,,,,
-78.0502022,41.4384886,d52f0a12f843a2f6,"39",HICKORY ST,,,,,,
-78.0544631,41.4405128,aa089d12e836bf1e,"276",CEDAR ST,,,,,,
-78.1260531,41.3884686,bbc8f31b4b9d5813,"2876",GROVE HILL RD,,,,,,
-78.1137512,41.5112215,ce940045d9665c71,"926",DEER RD,,,,,,
-78.0620424,41.4598272,efe31df531d17dfa,"147",CAMPGROUND RD,,,,,,
-78.0634221,41.4586333,b1d272bd4186a013,"11660",FIRST FORK RD,,,,,,
-78.2427158,41.4201819,bd9c8468b17274c8,"924",GRAY ROCK LN,,,,,,
-78.2861252,41.4929262,6513fd12aa95d3da,11547B,ROUTE 120,,,,,,
-78.286171,41.4928839,bf242f476a5ba176,11547A,ROUTE 120,,,,,,
-78.2475537,41.3864289,30c3c8c24ea0e0ea,"165",HOLLOW LEG RD,,,,,,
-78.2008648,41.5733379,0234c84533ea4209,"89",SIZER RUN RD,,,,,,
-78.1453061,41.3309467,a2f85081a772637f,"72",MASON HILL RD,,,,,,"9435"
-78.1701252,41.3308397,c38e36609cf7a1ce,"155",WOLF PACK LN,,,,,,"1414"
-78.1414676,41.3309232,4ac78f9b8f6c89dd,"95",KELLER RD,,,,,,"9483"
-78.170573,41.3308151,2fc7e3ecc0ab1e30,,,,,,,,
-78.17316,41.3307893,49e19db4bf7ab78f,"5709",LOW GRADE RD,,,,,,"2483"
-78.1727376,41.3307834,3aa13b2ece5731ff,,,,,,,,
-78.1290998,41.3309321,22f418efd672a021,"356",FLOYDS RD,,,,,,"3482"
-78.1446587,41.3308773,da1444e04cfcc3cf,,,,,,,,
-78.1398122,41.3308701,a9837f0854613c37,"749",CASTLE GARDEN RD,,,,,,"4441"
-78.1359416,41.3308793,393474ed6befb7e9,"277",WHITCOMBS SUB RD,,,,,,"5401"
-78.1412635,41.3308573,67fab1c67dbc6361,,,,,,,,"0441"
-78.1821342,41.3306842,2929b3a127964035,,,,,,,,"8420"
-78.1446486,41.3307279,2cfcaba492f7afaa,"28",MASON HILL RD,,,,,,"1317"
-78.1323049,41.3307539,693a6892bd4d6423,"347",OLD MILL RD,,,,,,"5306"
-78.141386,41.3307164,8947e29fc9cfd13a,,,,,,,,
-78.1437131,41.330684,5db24a944c8844e6,"7510",LOW GRADE RD,,,,,,"3375"
-78.184881,41.3305259,bb793055d3de7825,"1154",BENNETTS CREEK RD,,,,,,"0365"
-78.1471965,41.3306463,2dde8a4c6bd8dd2f,"144",OYLER DR,,,,,,"4314"
-78.1323515,41.3306925,8ea870f7d1a77fe7,,,,,,,,
-78.1435882,41.3306346,c662499b7530634f,,,,,,,,
-78.1407279,41.3306425,74ab4bd501c8f76d,"61",KELLER RD,,,,,,"1393"
-78.1414636,41.3306039,6ed9aada41d181ee,,,,,,,,
-78.183936,41.3304509,552f9df3d084b500,"1158",BENNETTS CREEK RD,,,,,,"3322"
-78.1414662,41.3306019,33eb3b1a6058bec8,,,,,,,,
-78.1411486,41.3305656,ce4d5746f398dce3,,,,,,,,
-78.1847434,41.3303944,28388d98bed3d84b,,,,,,,,
-78.1849162,41.3303808,bbd624c500debb08,,,,,,,,
-78.1405436,41.3305354,9fe6794044414ba6,"49",KELLER RD,,,,,,"2249"
-78.1407798,41.3304854,78427c5fcc17d2ec,,,,,,,,
-78.1434828,41.3304704,8b078927dca9022c,,,,,,,,
-78.1840583,41.3303219,710ff7ddf9724a44,"1160",BENNETTS CREEK RD,,,,,,"2297"
-78.131681,41.3304585,d7555fc25d63ef8b,"325",OLD MILL RD,,,,,,"6275"
-78.1838237,41.3302476,277d8daba46b6e4f,,,,,,,,
-78.183824,41.3302476,3ab5cf4e82fce809,,,,,,,,
-78.1632158,41.3303104,5d659ae6f4a4ff46,"6452",LOW GRADE RD,,,,,,"0214"
-78.1850732,41.33021,a8be0b9ef084a990,,,,,,,,
-78.1353417,41.3303099,78afa39d51477a09,,,,,,,,
-78.1291622,41.3302589,dbc0f7ec512bc684,,,,,,,,
-78.1289532,41.3302276,b39187ba68456666,"406",FLOYDS RD,,,,,,"4126"
-78.1351744,41.3301981,2e816b669b64438d,"339",WHITCOMBS SUB RD,,,,,,"7116"
-78.1465881,41.3301532,6af84beb57fa32f6,,,,,,,,"5186"
-78.1405001,41.3301348,d1560c73b08c58a0,"643",CASTLE GARDEN RD,,,,,,"2155"
-78.14063,41.3300188,80cef0dbf1851f6f,"629",CASTLE GARDEN RD,,,,,,"2110"
-78.1711774,41.3298772,52104870d7653a45,,,,,,,,
-78.1811934,41.3298211,0967856e6621cc17,,,,,,,,
-78.1350331,41.3299757,bf7803129f347a5c,,,,,,,,
-78.1809325,41.3297736,57e885812a82208c,"101",PINE TREE RD,,,,,,"1047"
-78.1455418,41.3298983,048114e9ae8015e1,"45",OYLER DR,,,,,,"8067"
-78.1736927,41.4563478,c7a6229635e03080,"275",STEAM MILL RD,,,,,,
-78.2477283,41.4762336,ec95bfef4b4d396d,"6709",MAY HOLLOW RD,,,,,,
-78.1404595,41.3298309,7cfd161b000f603e,,,,,,,,"2063"
-78.1351363,41.3298451,33fe79c9a56cb540,,,,,,,,
-78.1445482,41.3296606,f23d66f6e8ae0388,"7424",LOW GRADE RD,,,,,,"1948"
-78.1444712,41.3295912,9f1a518847a0848d,,,,,,,,
-78.1421674,41.3293589,2794fab640d7afda,,,,,,,,
-78.1848508,41.3291071,c4cea7573806804f,"9008",MIX RUN RD,,,,,,"0873"
-78.1422614,41.3290748,cf284a8271acc609,,,,,,,,
-78.142275,41.32884,3208a9979df4c048,,,,,,,,
-78.1424024,41.3287265,ef16d2280d574b26,,,,,,,,
-78.169372,41.3286246,37021c578ada5f7f,"9839",MIX RUN RD,,,,,,"3623"
-78.1691094,41.3285898,dc74c918d66a4a2b,,,,,,,,
-78.3287429,41.5130338,9dfc824dfefd6977,"2578",CLEAR CREEK RD,,,,,,
-78.3055396,41.5376316,d68bb41f809f4e74,"119",ROSE LN,,,,,,
-78.2974473,41.5376703,d3fc82e451798471,"107",BO MAR DR,,,,,,
-78.2812832,41.5377459,89ac68d42ab2ac06,"735",ROUTE 46,,,,,,
-78.3277874,41.5375222,adba70e02bd34224,"4271",RICH VALLEY RD,,,,,,
-78.2558532,41.5217352,ad829a3f534cf85c,"1018",RICH VALLEY RD,,,,,,
-78.1913888,41.5381252,d69b68a5ff33a6af,"1621",SALT RUN RD,,,,,,
-78.2380387,41.5379371,eafa8171879de344,"2331",PLANK ROAD HOLW,,,,,,
-78.2124283,41.5380427,b05b1ea22ff93c9d,"2177",SIZERVILLE RD,,,,,,
-78.1827804,41.5266842,908c89d96b1071c8,"3329",BAUER HOLLOW RD,,,,,,
-78.1611529,41.5382397,521918836bd4bc3b,"4818",BAUER HOLLOW RD,,,,,,
-78.1599388,41.5382441,eb370c3055f447f7,"6956",STEAM MILL RD,,,,,,
-78.1094488,41.4751373,5a8d7f00a9cccc3c,"7156",RIDGE RD,,,,,,
-78.1097436,41.5285058,fc0910dc8f518d46,"7091",HUNTS RUN RD,,,,,,
-78.109709,41.5222529,530e571ba409a815,"252",BEAR RD,,,,,,
-78.1096517,41.5118734,abec1530c90cd48b,"713",DEER RD,,,,,,
-78.1096182,41.505817,7e42672e2a8d95ef,"746",ELK RD,,,,,,
-78.1097201,41.5242538,26650324c52cc630,"1442",HAWK RD,,,,,,
-78.1097367,41.527266,a42e94ad955bf306,"126",SHANTYBROOK DR,,,,,,
-78.3289636,41.5378487,2c384130ea0694a5,"4325",RICH VALLEY RD,,,,,,
-78.1828828,41.5426309,71173a30e0478a34,"2618",SALT RUN RD,,,,,,
-78.4022072,41.5564772,f7ea50238736de97,"8048",STRAIGHT CREEK RD,,,,,,
-78.2563635,41.5964973,713b5d1d896a8d6a,"4395",FOUR MILE RD,,,,,,
-78.1832037,41.590823,eb876c212815fe0f,"416",CROOKED RUN RD,,,,,,
-78.1832381,41.5959859,14bb6884f8bbd3b1,"214",E  COWLEY RUN RD,,,,,,
-78.199383,41.5686195,ef2994117915ea99,"445",OLD PORTAGE RD,,,,,,"5132"
-78.1987433,41.5686024,9a089b5cc83b9d74,"448",OLD PORTAGE RD,,,,,,"7101"
-78.1994438,41.5684764,cd286b4bb0f6a4dd,,,,,,,,
-78.2000248,41.5683698,b400eeee5f561b05,"4386",SIZERVILLE RD,,,,,,"3053"
-78.1995681,41.5681687,ee4d2436a08fd66f,"407",OLD PORTAGE RD,,,,,,"4985"
-78.2001137,41.5679518,9206468f61cfa139,"385",OLD PORTAGE RD,,,,,,"3838"
-78.1988602,41.5679463,d7c51a64a31060b7,"408",OLD PORTAGE RD,,,,,,"6877"
-78.1998838,41.5676266,5a270feed120cba7,,,,,,,,
-78.1991298,41.5675644,5be4798d7f8d05c4,"380",OLD PORTAGE RD,,,,,,"6703"
-78.2000116,41.5674678,229e0ddf94183203,,,,,,,,
-78.1992209,41.5674541,f8ee0790f609b27e,,,,,,,,
-78.1992523,41.5674124,63e42ad4717997ca,,,,,,,,
-78.2020998,41.5673962,30e26a5871f6e6b1,,,,,,,,
-78.1994246,41.5673705,910ab336d7afc66c,"362",OLD PORTAGE RD,,,,,,"5616"
-78.1912644,41.4011152,65f928e14ad5dfcc,"89",BUCKTAIL TRAIL HWY,,,,,,
-78.202123,41.5672871,45800f1c442e808f,,,,,,,,
-78.2025151,41.5672625,c5a8eb9d00db427b,"54",ENSIGN HOLW,,,,,,"6673"
-78.2000736,41.5672617,5f387e998827a310,"339",OLD PORTAGE RD,,,,,,"3642"
-78.1995873,41.567173,53282b5d6c3e385b,,,,,,,,
-78.2019793,41.5671121,b1875373a94ba7d7,"46",ENSIGN HOLW,,,,,,"8527"
-78.2003499,41.5670777,060af7f9352bc200,"321",OLD PORTAGE RD,,,,,,"2566"
-78.1996615,41.5670221,2e4f9adb62a224c9,"334",OLD PORTAGE RD,,,,,,"4554"
-78.2025022,41.5669147,28f3bf491ccbdc8c,"64",ENSIGN HOLW,,,,,,"6570"
-78.2003623,41.5668395,59c231a895ae0cae,"305",OLD PORTAGE RD,,,,,,"2467"
-78.2020487,41.5668094,b9f21e057a5930f7,"63",ENSIGN HOLW,,,,,,"8406"
-78.2021107,41.5667645,3f8d0bf6ea82de4f,,,,,,,,"7485"
-78.0362592,41.4278045,c262cb890b7c6285,"711",PARK RD,,,,,,
-78.2555066,41.485819,5ae4cc4860ae2cf6,"6988",BRYAN HILL RD,,,,,,
-78.2555167,41.4871241,348a6e7d61b4008d,"75",WHITTIMORE RD,,,,,,
-78.2556767,41.4985562,53202bf441914231,"1200",WHITTIMORE RD,,,,,,
-78.2557352,41.5060815,2207c4f8b208055e,"2335",OLD WEST CREEK RD,,,,,,
-78.2557251,41.5047865,c106e6aba330bf99,"13384",ROUTE 120,,,,,,
-78.2496394,41.5168217,28c440adaaaa21ce,"12",WHEATON HOLLOW RD,,,,,,
-78.2385814,41.5168691,cc2e973b98108c70,"519",MURRAYS MOUNTAIN RD,,,,,,
-78.2185056,41.5039933,756b892668e1bfc8,"15783",ROUTE 120,,,,,,
-78.248776,41.5026759,4e7beecb76afc0d9,"2668",WHITTIMORE RD,,,,,,
-78.2185174,41.5056315,220f11fe0272f125,"168",PINE TREE RD,,,,,,
-78.2185522,41.5104656,e442971f101200cf,"82",CLIMAX HOLLOW RD,,,,,,
-78.2185638,41.5120718,e6c002849f704a4d,"301",SIZERVILLE RD,,,,,,
-78.2499927,41.5168201,71579cf49d747b32,"661",RICH VALLEY RD,,,,,,
-78.2272121,41.5169167,d60083e06be5d78c,"192",BRITTON RD,,,,,,
-78.2185894,41.5156276,a41feee4034d714b,"801",HILLCREST DR,,,,,,
-78.2301468,41.5169045,b8fb0c34789c48c9,"749",PLANK ROAD HOLW,,,,,,
-78.4013458,41.470087,e6cde80723023a24,"4912",ROUTE 120,,,,,,
-78.4014444,41.4799458,74c4bfd07f707836,"4873",BEECHWOOD RD,,,,,,
-78.3378426,41.5374741,3de331bfd4b28d9e,"288",BOBBYS RUN RD,,,,,,
-78.3283604,41.4695698,2412acd264e9c44b,"649",MOORE HILL RD,,,,,,
-78.3283211,41.465151,0341d857cb44a294,"1124",MOORE HILL RD,,,,,,
-78.3284063,41.4747444,8c0851c2973601ee,"8985",ROUTE 120,,,,,,
-78.3287465,41.5130318,1a3e550daf2304d8,"2579",CLEAR CREEK RD,,,,,,
-78.3055411,41.5376343,6ed3f9e6c90aa386,"120",ROSE LN,,,,,,
-78.2974476,41.537673,34a578edba7af66c,"108",BO MAR DR,,,,,,
-78.2812851,41.5377487,46645c315f8544d1,"736",ROUTE 46,,,,,,
-78.3277965,41.5375249,8c1b4b152f38c04a,"4272",RICH VALLEY RD,,,,,,
-78.2558568,41.521738,cb70a6f0cd554ea8,"1019",RICH VALLEY RD,,,,,,
-78.1913845,41.5381279,7a37ce358e11f048,"1622",SALT RUN RD,,,,,,
-78.2380375,41.5379399,46bd9059257a253b,"2332",PLANK ROAD HOLW,,,,,,
-78.2124278,41.5380454,b09c355f31442a46,"2178",SIZERVILLE RD,,,,,,
-78.1827768,41.526686,33eed11f71864dc5,"3330",BAUER HOLLOW RD,,,,,,
-78.1611519,41.538237,0af36492ded850a6,"4817",BAUER HOLLOW RD,,,,,,
-78.159933,41.5382413,6c4ac6c1c7642f62,"6955",STEAM MILL RD,,,,,,
-78.2551696,41.5213985,8ab51b08c06cc537,"982",RICH VALLEY RD,,,,,,"1060"
-78.2557894,41.5213552,175a24b1f8c3ae29,,,,,,,,
-78.2555861,41.5212909,a4f481457207ee16,"991",RICH VALLEY RD,,,,,,"0956"
-78.2541918,41.5212671,0fb641166034e180,,,,,,,,
-78.1389976,41.3415498,9738d09ec7cba026,"7026",3RD ST,,,,,,
-78.1392945,41.3611589,1187bf86a3c81d29,"4784",BUCKTAIL TRAIL HWY,,,,,,
-78.2887234,41.4919768,709739103c33860d,"11433",ROUTE 120,,,,,,
-78.2438618,41.5978294,b9651c1ee9a142fb,"90",APPLEBLOSSOM LN,,,,,,
-78.1280453,41.3353228,8f6fd3d6f4d78867,"478",DRIFTWOOD AVE,,,,,,
-78.0967106,41.3180969,eda18625bef03124,"40",RAILROAD ST,,,,,,
-78.2104842,41.3431904,d4837055a5b19ba1,"370",MCISAAC LN,,,,,,
-78.0518148,41.2956808,a55a7ffdffad1136,"5826",JERRY RUN RD,,,,,,
-78.1108881,41.5262761,b969ca153e773122,"34",SHANTYBROOK DR,,,,,,
-78.1095315,41.5272271,7607136ea7914486,"132",SHANTYBROOK DR,,,,,,
-78.108614,41.5272464,5b554e347c537a21,"127",GROUSE RIDGE LN,,,,,,
-78.1349119,41.3480836,780d443cdc9b4b9f,,,,,,,,
-78.1346309,41.3479939,c16d8e162639acd6,"475",DEER PATH RD,,,,,,"8694"
-78.1387784,41.3476096,5b520213b719f1f2,"849",DEER PATH RD,,,,,,"7551"
-78.1324729,41.3476205,efcf14bdb458ebf2,,,,,,,,"4581"
-78.1349253,41.3474527,aa70af833e762998,,,,,,,,
-78.1331456,41.3474361,4153cdba067ca417,"538",DEER PATH RD,,,,,,"3404"
-78.1334315,41.3472253,ee66be17965efb09,,,,,,,,
-78.138668,41.3443395,faf45ea0f8cfd818,"118",DEER PATH RD,,,,,,"7382"
-78.1395395,41.3443102,981d98162b43da42,"204",WATER ST,,,,,,"5341"
-78.1379894,41.3430478,5b28a6bd6d76dc20,"6777",3RD ST,,,,,,"9865"
-78.1403462,41.3429427,fe37701854897854,,,,,,,,
-78.1411144,41.34271,4ad967b36afcaa26,,,,,,,,
-78.1403522,41.3427105,236746b372ad8e6f,"64",WYE ST,,,,,,"3713"
-78.2386706,41.5133805,497caaf684f28cfb,"17",W  6TH ST,,,,,,"6065"
-78.2339545,41.5133996,9c9676cdb5e26b15,"533",N  WALNUT ST,,,,,,"9065"
-78.2342851,41.513394,182f044d881e7f29,,,,,,,,"8075"
-78.2452104,41.5133444,c708407d672b3775,"424",W  6TH ST,,,,,,"8075"
-78.2470306,41.5133296,1588fd909df3b8f8,"601",WOODLAND AVE,,,,,,"3074"
-78.2453173,41.5133358,d240a91cc1a071f1,"426",W  6TH ST,,,,,,"8044"
-78.2393171,41.5133604,eacf65120166c9d9,"25",W  6TH ST,,,,,,"4094"
-78.2394747,41.5133553,381c0e8956ee5c5f,"27",W  6TH ST,,,,,,"4044"
-78.2454475,41.5133278,e16d1377e9d5fdc7,"430",W  6TH ST,,,,,,"8014"
-78.2306491,41.5133899,61b1a0e8c341026d,"326",E  5TH STREET EXT,,,,,,"8064"
-78.2316687,41.513375,2fcc6f42d0c35f59,,,,,,,,
-78.2456337,41.5133099,dfdb82ba2e3922f1,"432",W  6TH ST,,,,,,"7063"
-78.2396507,41.5133304,cb09d9039acb888f,,W  6TH ST,,,,,,"4003"
-78.2398539,41.5133195,ee3667fe8c3dc41e,"518",N  MAPLE ST,,,,,,"3043"
-78.2355735,41.5133329,7ecc29a8e165204f,"516",N  CHESTNUT ST,,,,,,"5013"
-78.2332382,41.5133389,bec6c5d55e1119b9,"209",E  ALLEGANY AVE,,,,,,"1052"
-78.2340786,41.5133309,328587618aa94cb3,,,,,,,,
-78.240262,41.5132925,eed67fb03a9643b5,"523",N  MAPLE ST,,,,,,"2032"
-78.2348143,41.5133133,a5a1754f1e1504f7,"120",E  GARDEN ST,,,,,,"7022"
-78.2404253,41.5132888,3c0743627934a48f,"107",W  6TH ST,,,,,,"1082"
-78.2383477,41.5132833,7f434eaa5a07531d,,,,,,,,
-78.2406015,41.5132683,2e2eeadadf60523e,"109",W  6TH ST,,,,,,"1041"
-78.2408121,41.5132644,3c869f5f176a70f1,"115",W  6TH ST,,,,,,"0081"
-78.2301288,41.5133006,a47b2cf40a9f57b7,,,,,,,,
-78.2322909,41.5132905,d7327bc28c785be4,"228",E  ALLEGANY AVE,,,,,,"4011"
-78.2304958,41.513289,b64d67a72a841090,"330",E  5TH STREET EXT,,,,,,"9000"
-78.2333861,41.5132639,66e1ac001f6c6112,,,,,,,,
-78.2409678,41.5132235,de56d8c4cfa1d769,"119",W  6TH ST,,,,,,"0939"
-78.2382078,41.513232,8e784e88efce3507,"513",N  BROAD ST,,,,,,"7999"
-78.2360352,41.5132382,56d3e84a48134253,,,,,,,,"3999"
-78.2415214,41.5132107,00a801cc1d735d33,"131",W  6TH ST,,,,,,"8989"
-78.2332035,41.5132413,33f3bb95b69cc656,,,,,,,,
-78.2418436,41.5132037,11e949ec4c73fd10,"522",POPLAR ST,,,,,,"8909"
-78.2413507,41.5132047,f402ba120d92ad5f,"125",W  6TH ST,,,,,,"9939"
-78.2411532,41.513205,af716710db6d65a7,,W  6TH ST,,,,,,"9989"
-78.2346231,41.5132252,320948f2b0645554,,,,,,,,
-78.2341566,41.5132265,f2530d72f80203ca,,,,,,,,
-78.2320889,41.5132323,e35debdefdd6b173,"232",E  ALLEGANY AVE,,,,,,"4978"
-78.2309397,41.5132341,8793e5093fc91cf0,"320",E  5TH STREET EXT,,,,,,"7988"
-78.2422791,41.5131861,2ad7ea6bb3a1f7d4,"523",POPLAR ST,,,,,,"6988"
-78.2345277,41.5132188,022982fbff8d54cd,,,,,,,,
-78.2364296,41.5132075,770b3603a891511b,"20",E  5TH ST,,,,,,"2988"
-78.2424876,41.5131735,c075e954b8a05174,"309",W  6TH ST,,,,,,"6928"
-78.23291,41.5132129,674db6ba49c045e8,,,,,,,,"2948"
-78.2426639,41.5131715,67978be9d15f2034,"311",W  6TH ST,,,,,,"5978"
-78.2319205,41.5132097,2f7bab91dcafa223,"236",E  ALLEGANY AVE,,,,,,"5918"
-78.2335546,41.5132004,71229fbb3390eb1a,,,,,,,,
-78.2335552,41.5132002,9467e2b4c6574a89,,,,,,,,
-78.2348484,41.5131904,74a0246ca87f2ddd,"119",E  GARDEN ST,,,,,,"7917"
-78.2311523,41.5131987,50232fe312926d6a,"318",E  5TH STREET EXT,,,,,,"7927"
-78.2300788,41.5132003,94fd4c776ddbcfa6,"340",E  5TH STREET EXT,,,,,,"0927"
-78.2430311,41.5131447,6da37681f5984be3,"317",W  6TH ST,,,,,,"4977"
-78.2389388,41.5131583,bc9b89ecf6b9d77f,"513",N  WOOD ST,,,,,,"5997"
-78.2428243,41.513141,9a5813e33a86feee,"315",W  6TH ST,,,,,,"5937"
-78.2432246,41.5131237,d10a96c584478624,"321",W  6TH ST,,,,,,"4926"
-78.2416511,41.5131236,cf7e54adfb2168df,,,,,,,,
-78.2434095,41.5131158,091cd5aa2ce90d37,"325",W  6TH ST,,,,,,"3976"
